time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-10-05T07:45:08.100Z,51.452,6.471,1,2.6,ml,8,304.5,,,us,usp000gjc9,2014-11-07T01:37:23.832Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-09-29T13:36:10.260Z,50.372,7.425,14.8,3,ml,20,92,,0.56,us,usp000ghye,2014-11-07T01:37:16.381Z,"Germany",earthquake,,5.7,,,reviewed,us,ldg
2008-09-28T00:02:22.100Z,49.33,6.79,1,3,ml,46,76.1,,,us,usp000ghv6,2014-11-07T01:37:15.931Z,"Germany",earthquake,,,,,reviewed,str,ldg
2008-09-24T13:55:37.180Z,51.464,6.602,5,3,ml,12,157.7,,0.94,us,usp000ghmv,2014-11-07T01:37:14.645Z,"Germany",earthquake,,,,,reviewed,us,ldg
2008-09-18T14:33:16.400Z,51.614,6.569,1,3.2,ml,12,202.4,,,us,usp000gh9r,2014-11-07T01:37:13.194Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-09-17T02:57:42.900Z,47.231,7.553,8.1,2.5,ml,42,60.5,,,us,usp000gh6h,2014-11-07T01:37:12.668Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-09-15T17:27:03.700Z,47.234,11.276,5,2.7,ml,6,188.2,,,us,usp000gh3u,2014-11-07T01:37:12.273Z,"Austria",earthquake,,,,,reviewed,ldg,ldg
2008-09-10T13:57:27.000Z,47.4,11,10,3.1,ml,23,102.8,,,us,usp000ggt4,2014-11-07T01:37:10.616Z,"Austria",earthquake,,,,,reviewed,grf,ldg
2008-09-10T13:33:36.000Z,47.4,11.1,10,2.9,ml,24,99.2,,,us,usp000ggsz,2014-11-07T01:37:10.604Z,"Austria",earthquake,,,,,reviewed,grf,ldg
2008-09-10T13:24:50.900Z,47.393,11.062,10,2.8,ml,17,101.3,,,us,usp000ggsx,2014-11-07T01:37:10.599Z,"Austria",earthquake,,,,,reviewed,grf,ldg
2008-08-27T07:06:44.600Z,48.314,6.687,11,2.5,ml,9,144,,,us,usp000gfp9,2014-11-07T01:36:59.993Z,"France",earthquake,,,,,reviewed,ldg,ldg
2008-08-13T03:45:52.560Z,51.264,14.941,5,3.1,ml,6,199.3,,1,us,usp000gehx,2014-11-07T01:36:53.514Z,"Germany",earthquake,,,,,reviewed,us,grf
2008-08-12T17:25:46.280Z,48.095,13.282,10,3.8,ml,66,41.8,,1.04,us,usp000gegp,2014-11-07T01:36:53.379Z,"Austria",earthquake,,,,,reviewed,us,ldg
2008-08-11T17:59:27.100Z,51.559,6.534,1,2.6,ml,4,337.7,,,us,usp000geer,2014-11-07T01:36:53.115Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-08-11T17:58:36.600Z,51.539,6.493,1,2.7,ml,6,289.6,,,us,usp000geeq,2014-11-07T01:36:53.113Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-08-07T20:26:21.800Z,51.612,6.482,1,2.7,ml,4,306.9,,,us,usp000ge46,2014-11-07T01:36:51.470Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-08-06T18:16:34.100Z,48.107,13.182,10,2.8,ml,26,73.6,,0.64,us,usp000gdzk,2014-11-07T01:36:50.872Z,"Austria",earthquake,,,,,reviewed,us,ldg
2008-07-22T17:46:10.600Z,47.35,6.02,5,2.7,ml,24,87.9,,,us,usp000gcwq,2014-11-07T01:36:41.526Z,"France",earthquake,,,,,reviewed,str,ldg
2008-07-18T22:54:05.190Z,47.463,13.787,10,4.1,ml,74,35.7,,0.84,us,usp000gcj0,2014-11-07T01:36:40.052Z,"Austria",earthquake,,,,,reviewed,us,grf
2008-07-18T18:12:39.600Z,52.33,7.66,5,3.4,ml,29,249.4,,,us,usp000gcha,2014-11-07T01:36:40.008Z,"Germany",earthquake,,,,,reviewed,str,str
2008-07-09T04:32:21.000Z,48.45,9.04,10,2.7,ml,25,130.6,,,us,usp000gbpz,2014-11-07T01:36:35.954Z,"Germany",earthquake,,,,,reviewed,str,ldg
2008-07-03T20:16:02.500Z,48.02,11.63,5,2.7,ml,11,186.2,,,us,usp000gb8r,2014-11-07T01:36:33.789Z,"Germany",earthquake,,,,,reviewed,str,ldg
2008-07-03T04:35:38.300Z,48.45,9.02,10,2.5,ml,19,211.2,,,us,usp000gb6w,2014-11-07T01:36:33.347Z,"Germany",earthquake,,,,,reviewed,str,ldg
2008-06-29T06:35:29.860Z,47.149,10.416,10,2.5,ml,11,109.5,,0.77,us,usp000gax9,2014-11-07T01:36:27.962Z,"Austria",earthquake,,,,,reviewed,us,ldg
2008-06-22T15:05:45.860Z,47.857,14.19,1.3,3.2,ml,37,92.5,,0.64,us,usp000gaas,2014-11-07T01:36:25.015Z,"Austria",earthquake,,7,,,reviewed,us,grf
2008-06-15T22:06:39.840Z,48.125,9.382,24,2.6,ml,39,80.8,,,us,usp000g9rv,2014-11-07T01:36:21.822Z,"Germany",earthquake,,,,,reviewed,fbb,fbb
2008-06-14T20:28:29.800Z,47.463,7.657,14,2.7,ml,52,40,,,us,usp000g9nb,2014-11-07T01:36:21.392Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-06-14T12:10:09.410Z,48.325,10.78,18,2.7,ml,20,110.3,,,us,usp000g9m4,2014-11-07T01:36:21.250Z,"Germany",earthquake,,,,,reviewed,fbb,grf
2008-06-13T10:26:35.800Z,47.68,8.901,10.3,2.6,ml,26,162.8,,,us,usp000g9f3,2014-11-07T01:36:20.614Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-06-12T22:06:27.800Z,51.625,6.856,1,2.8,ml,13,224.7,,,us,usp000g9cu,2014-11-07T01:36:20.275Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-05-24T13:08:20.700Z,51.592,6.856,1,2.7,ml,7,293.1,,,us,usp000g7nb,2014-11-07T01:36:05.292Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-05-24T08:24:19.200Z,51.519,6.516,1,2.9,ml,10,220.5,,,us,usp000g7mm,2014-11-07T01:36:05.214Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2008-05-21T15:32:03.330Z,47.487,13.593,10,2.5,ml,9,168.8,,0.4,us,usp000g7dy,2014-11-07T01:36:04.181Z,"Austria",earthquake,,,,,reviewed,us,grf
2008-05-21T13:39:56.730Z,47.49,13.508,1.4,3.5,ml,57,49.3,,0.97,us,usp000g7dk,2014-11-07T01:36:04.146Z,"Austria",earthquake,,7.5,,,reviewed,us,ldg
2008-05-21T07:21:01.400Z,47.453,13.626,10,2.6,ml,16,74.4,,,us,usp000g7ct,2014-11-07T01:36:04.065Z,"Austria",earthquake,,,,,reviewed,grf,grf
2008-05-13T09:55:11.500Z,51.531,6.524,1,3.3,ml,20,283.9,,,us,usp000g6hv,2014-11-07T01:35:59.685Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-05-06T11:16:44.700Z,50.766,10.038,1,2.6,ml,14,93.6,,,us,usp000g5ne,2014-11-07T01:35:51.804Z,"Germany",earthquake,,,,,reviewed,grf,grf
2008-05-03T23:17:25.000Z,47.409,10.077,5,2.8,ml,39,81.5,,,us,usp000g5ek,2014-11-07T01:35:50.797Z,"Austria",earthquake,,,,,reviewed,ldg,ldg
2008-05-03T19:09:26.700Z,47.345,10.087,5,2.6,ml,17,150.3,,,us,usp000g5e4,2014-11-07T01:35:50.715Z,"Austria",earthquake,,,,,reviewed,ldg,ldg
2008-05-03T11:37:41.000Z,47.5,13.6,10,2.5,ml,7,166.2,,,us,usp000g5dg,2014-11-07T01:35:50.458Z,"Austria",earthquake,,,,,reviewed,grf,grf
2008-05-03T07:47:56.000Z,49.343,6.822,1,2.5,ml,11,193.8,,,us,usp000g5d8,2014-11-07T01:35:50.427Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-05-02T06:54:39.200Z,51.538,6.583,1,3.1,ml,14,199.9,,,us,usp000g5an,2014-11-07T01:35:49.713Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-04-30T23:00:28.100Z,48.35,6.68,10,2.6,ml,26,44.4,,,us,usp000g57d,2014-11-07T01:35:45.486Z,"France",earthquake,,,,,reviewed,str,ldg
2008-04-23T14:54:51.490Z,50.148,7.375,3,2.6,ml,7,210.5,,1.02,us,usp000g4n4,2014-11-07T01:35:41.849Z,"Germany",earthquake,,16.9,,,reviewed,us,ldg
2008-04-23T12:10:58.400Z,51.534,6.591,1,3.1,ml,9,290.3,,,us,usp000g4mt,2014-11-07T01:35:41.808Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-04-19T09:35:14.400Z,49.34,6.8,1,2.5,ml,18,100.1,,,us,usp000g4a9,2014-11-07T01:35:40.634Z,"Germany",earthquake,,,,,reviewed,str,ldg
